id,name,stem_key,base_cost_per_lb,unit,notes,default_yield_placeholder
韓國-韓牛牛筋丸,【韓國】韓牛牛筋丸(香港製造),【韓國】韓牛牛筋丸,38.5,小盒,company-quote-2025-10,0.85
日本味付四角油揚,日本味付四角油揚 (800g / 20包),日本味付四角油揚,33,包,company-quote-2025-10,0.85
咖哩角,咖哩角 (112塊 / 小盒),咖哩角,27,小盒,company-quote-2025-10,0.85
春卷,春卷 (72塊 / 小盒),春卷,26.5,小盒,company-quote-2025-10,0.85
越南粉絲皮春卷,越南粉絲皮春卷 (12條裝 / 小盒),越南粉絲皮春卷,18.5,小盒,company-quote-2025-10,0.85
麥樂雞,麥樂雞 (2.5kg / 包),麥樂雞,62,包,company-quote-2025-10,0.85
炸方塊魚柳,炸方塊魚柳 (60gx5塊 / 盒),炸方塊魚柳,20.5,小盒,company-quote-2025-10,0.85
香茅魚餅,香茅魚餅 (1kg / 包),香茅魚餅,44,包,company-quote-2025-10,0.85
仿翅,仿翅,仿翅,24,包,company-quote-2025-10,0.85
神字鮑,神字鮑片 (300g / 包),神字鮑,26.5,包,company-quote-2025-10,0.85
炭燒雞肉串,炭燒雞肉串 (50串),炭燒雞肉串,65,小盒,company-quote-2025-10,0.85
生雞膝軟骨串,生雞膝軟骨串 (50串),生雞膝軟骨串,120,小盒,company-quote-2025-10,0.85
生雞腎串,生雞腎串 (50串),生雞腎串,68,小盒,company-quote-2025-10,0.85
生雞皮串,生雞皮串 (50串),生雞皮串,43,小盒,company-quote-2025-10,0.85
台灣眷村蔥油餅,台灣眷村蔥油餅(10塊 / 10包),台灣眷村蔥油餅,41,包,company-quote-2025-10,0.85
台灣蔥抓餅,台灣蔥抓餅(5個 / 20包),台灣蔥抓餅,17.2,包,company-quote-2025-10,0.85
宜蘭蔥肉餡餅,宜蘭蔥肉餡餅(30個 / 15包),宜蘭蔥肉餡餅,43,包,company-quote-2025-10,0.85
台灣多汁小籠包,台灣多汁小籠包(28g / 20粒 / 24包),台灣多汁小籠包,40,包,company-quote-2025-10,0.85
中華沙律,中華沙律(2KG / 包),中華沙律,61,小盒,company-quote-2025-10,0.85
芝麻八爪魚,芝麻八爪魚(2KG / 包),芝麻八爪魚,115,小盒,company-quote-2025-10,0.85
味付螺肉,味付螺肉(2KG / 包),味付螺肉,95,小盒,company-quote-2025-10,0.85
迷你燒甜薯,迷你燒甜薯 (500g / 包),迷你燒甜薯,15,包,company-quote-2025-10,0.85
日本醋鯖魚,日本醋鯖魚(20條 / 4盒),日本醋鯖魚,14,條,company-quote-2025-10,0.85
韓國讚崎烏冬,韓國讚崎烏冬(8包 / 箱),韓國讚崎烏冬,18.3,包,company-quote-2025-10,0.85
稻庭烏冬,稻庭烏冬 (250g x 8包),稻庭烏冬,22.5,包,company-quote-2025-10,0.85
吉列炸蠔,吉列炸蠔(25gx20隻 / 盒),吉列炸蠔,37,小盒,company-quote-2025-10,0.85
唐揚雞塊,唐揚雞塊(1K / 包),唐揚雞塊,43,小盒,company-quote-2025-10,0.85
天婦羅吉列蝦,天婦羅吉列蝦(10隻 / 盒),天婦羅吉列蝦,18,小盒,company-quote-2025-10,0.85
和風炸蟹鉗,和風炸蟹鉗(8隻裝),和風炸蟹鉗,13.5,小盒,company-quote-2025-10,0.85
和風炸帶子,和風炸帶子(10粒),和風炸帶子,8.8,小盒,company-quote-2025-10,0.85
香酥魚手指,香酥魚手指 (300gx10條x12盒),香酥魚手指,24,小盒,company-quote-2025-10,0.85
香酥蝦手指,香酥蝦手指 (12盒 / 箱),香酥蝦手指,26,小盒,company-quote-2025-10,0.85
鹽酥雞,鹽酥雞(3K / 4包),鹽酥雞,143,包,company-quote-2025-10,0.85
曲薯,曲薯條 (1KG / 包),曲薯,25,包,company-quote-2025-10,0.85
粗直薯,粗直薯條 (2KG / 包),粗直薯,50,包,company-quote-2025-10,0.85
三角薯餅,三角薯餅 (32塊 / 5磅 / 包),三角薯餅,50,包,company-quote-2025-10,0.85
比利時橢圓形薯餅,比利時橢圓形薯餅 (1.28Kg / 盒),比利時橢圓形薯餅,37,小盒,company-quote-2025-10,0.85
辣味-薯角,辣味 薯角(5磅 / 包),辣味 薯角,65,包,company-quote-2025-10,0.85
香辣薯格,香辣薯格(4.5磅 / 包),香辣薯格,75,包,company-quote-2025-10,0.85
美國ligo什菜,美國Ligo什菜粒 (1KG / 包),美國Ligo什菜,19.4,包,company-quote-2025-10,0.85
美國ligo青豆,美國Ligo青豆粒 (1KG / 包),美國Ligo青豆,20,包,company-quote-2025-10,0.85
甘筍仔,甘筍仔 (2.5kg / 包),甘筍仔,42,包,company-quote-2025-10,0.85
美國ligo粟米,美國Ligo粟米粒 (1KG / 包),美國Ligo粟米,19.4,包,company-quote-2025-10,0.85
泰國粟米,泰國粟米粒,泰國粟米,15,包,company-quote-2025-10,0.85
韓國辣味泡菜-10k,"韓國辣味泡菜,10K (切斷)","韓國辣味泡菜,10K",138,包,company-quote-2025-10,0.85
韓國魚糕,韓國魚糕片(720g / 包),韓國魚糕,22,包,company-quote-2025-10,0.85
日本忌廉泡芙-12粒裝,日本忌廉泡芙 -12粒裝,日本忌廉泡芙 -12粒裝,12,小盒,company-quote-2025-10,0.85
日本朱古力泡芙-12粒裝,日本朱古力泡芙-12粒裝,日本朱古力泡芙-12粒裝,12,小盒,company-quote-2025-10,0.85
日本抹茶泡芙-12粒裝,日本抹茶泡芙-12粒裝,日本抹茶泡芙-12粒裝,12,小盒,company-quote-2025-10,0.85
日本士多啤梨泡芙-12粒裝,日本士多啤梨泡芙-12粒裝,日本士多啤梨泡芙-12粒裝,12,小盒,company-quote-2025-10,0.85
春卷皮-20塊x40包,春卷皮(8.5吋) - 20塊x40包,春卷皮 - 20塊x40包,10,包,company-quote-2025-10,0.85
新加坡原味香酥餅-30塊x4包,新加坡原味香酥餅(5.5吋)-30塊x4包,新加坡原味香酥餅 -30塊x4包,68,包,company-quote-2025-10,0.85
成本運費到倉成本轉港幣泰式咖喱汁-1kg,成本運費到倉成本轉港幣泰式咖喱汁 1kg,成本運費到倉成本轉港幣泰式咖喱汁 1kg,31.3,包,company-quote-2025-10,0.85
黑椒汁-1kg,黑椒汁 1kg,黑椒汁 1kg,24.8,包,company-quote-2025-10,0.85
燒汁-1kg,燒汁 1kg,燒汁 1kg,28.6,包,company-quote-2025-10,0.85
黄汁-1kg,黄汁 1kg,黄汁 1kg,24.8,包,company-quote-2025-10,0.85
白汁-1kg,白汁 1kg,白汁 1kg,24.8,包,company-quote-2025-10,0.85
意式肉醬-1kg,意式肉醬 1kg,意式肉醬 1kg,32.4,包,company-quote-2025-10,0.85
意大利牛肉醬-1kg,意大利牛肉醬 1kg,意大利牛肉醬 1kg,37.3,包,company-quote-2025-10,0.85
蘑菇濃湯-1kg,蘑菇濃湯 1kg,蘑菇濃湯 1kg,28.1,包,company-quote-2025-10,0.85
羅宋湯-1kg,羅宋湯 1kg,羅宋湯 1kg,25.9,包,company-quote-2025-10,0.85
蕃茄辣味肉醬-1kg,蕃茄辣味肉醬 1kg,蕃茄辣味肉醬 1kg,32.4,包,company-quote-2025-10,0.85
蕃茄湯料醬-1kg,蕃茄湯料醬 1kg,蕃茄湯料醬 1kg,31.3,包,company-quote-2025-10,0.85
奶油菌菇醬-1kg,奶油菌菇醬 1kg,奶油菌菇醬 1kg,35.2,包,company-quote-2025-10,0.85
